period_id,term,estimate,std.error,statistic,p.value,yob
1996-2008,yob::2016:treat,-0.1621187622642116,0.21949101373703161,-0.7386122989911709,0.4606505062927969,2016
1996-2008,yob::2017:treat,-0.4408660390172742,0.5521012636781024,-0.79852387237845035,0.4251223247275122,2017
1996-2008,yob::2018:treat,-0.5302238920456664,0.4200109406401052,-1.2624049536366706,0.20766576487273442,2018
1997-2003,yob::2005:treat,-0.4590484184725493,0.3043739746866836,-1.5081723690242717,0.13377997073140138,2005
1997-2003,yob::2006:treat,-0.4028258549930443,0.29433792525214636,-1.368582912473685,0.17333754986936228,2006
1997-2003,yob::2007:treat,-0.10712867369075038,0.2840327586149225,-0.3771701342238136,0.7066223938791162,2007
1997-2003,yob::2008:treat,-0.10401695196087943,0.2795348248016348,-0.37210731090372223,0.7103796434065495,2008
1997-2003,yob::2010:treat,-1.5812462796470639,0.3410512389399119,-4.636389196421174,8.08905921621674e-6,2010
1997-2003,yob::2011:treat,-0.4928832538447973,0.2572842157634984,-1.9157150872320399,0.057454743790843726,2011
1997-2003,yob::2012:treat,-0.055767025034740736,0.70643016230484,-0.07894202146294547,0.937192272314141,2012
1997-2003,yob::2013:treat,-0.45134061087638516,0.5430674292477643,-0.831094973789101,0.40734532227521003,2013
1997-2003,yob::2014:treat,-0.8299369698743734,0.3191542632511594,-2.600425767213556,0.010317380173354164,2014
1997-2003,yob::2015:treat,-0.7809420781269627,0.42894349317097624,-1.8206176117833786,0.07081594067451799,2015
1997-2003,yob::2016:treat,-0.4499089116749781,0.23988721422027298,-1.8755018400516157,0.06282126802783836,2016
1997-2003,yob::2017:treat,-0.14073556640572216,0.456147913672521,-0.30853054938394264,0.7581405699435398,2017
1997-2003,yob::2018:treat,0.9513488152299456,0.2660656623701043,3.575616660772236,4.8118489253433464e-4,2018
1997-2004,yob::2005:treat,0.2392894906964445,0.33098585951959647,0.7229598601093019,0.4707280901205815,2005
1997-2004,yob::2006:treat,0.08974265963593592,0.29994066037914274,0.2992013804413709,0.7651629275158924,2006
1997-2004,yob::2007:treat,0.3631105730754892,0.28199524056281994,1.2876478778534535,0.19967166275231674,2007
1997-2004,yob::2008:treat,0.29440729918941594,0.2943987742683116,1.0000289570536613,0.31876080194992523,2008
1997-2004,yob::2010:treat,-0.7040637609851247,0.3460596889875996,-2.034515383877472,0.043500589007102713,2010
1997-2004,yob::2011:treat,-0.0147479288499172,0.23275013442641984,-0.06336378230784445,0.9495535228649601,2011
1997-2004,yob::2012:treat,1.3135531773481133,0.548438543521489,2.3950781593756556,0.017737178373882678,2012
1997-2004,yob::2013:treat,0.6127936215166236,0.3442207025457478,1.7802346488302276,0.07687788856510824,2013
1997-2004,yob::2014:treat,0.4462085642999976,0.6581016390033109,0.6780237851645173,0.4987063293162939,2014
1997-2004,yob::2015:treat,-0.550318066256262,0.463257425879434,-1.187931451312528,0.23656757767618194,2015
1997-2004,yob::2016:treat,0.5236883735127694,0.2524350311881086,2.074547146043804,0.039581180770913896,2016
1997-2004,yob::2017:treat,0.8098602533317412,0.38382535863430883,2.109970680971444,0.036369140611008745,2017
1997-2005,yob::2005:treat,0.04955399216978032,0.2984985966624681,0.16601080448567154,0.8683307186922687,2005
1997-2005,yob::2006:treat,-0.1181412254275513,0.29285221915024745,-0.4034158449280492,0.6871107366319138,2006
1997-2005,yob::2007:treat,0.2825283676929798,0.26700886613442515,1.05812354392285,0.29138626932978257,2007
1997-2005,yob::2008:treat,0.3259623523346636,0.27981669907437984,1.1649138647297725,0.2455618974352215,2008
1997-2005,yob::2010:treat,-0.47343431428225125,0.2820122396821692,-1.6787722221411976,0.09489387338577814,2010
1997-2005,yob::2011:treat,-0.04562750172844566,0.2592868818353767,-0.17597304347010861,0.860508639772551,2011
1997-2005,yob::2012:treat,1.2495804019642105,0.5623129922462139,2.2222150638430747,0.02748728797488817,2012
1997-2005,yob::2013:treat,1.0808123292021423,0.4636935722787436,2.3308762377073142,0.02084357716109096,2013
1997-2005,yob::2014:treat,1.6016716176721983,0.34971427465383653,4.579943496037179,8.55076459136219e-6,2014
1997-2005,yob::2015:treat,1.361287921774634,0.4151669955241262,3.2788924371410606,0.0012462123508350897,2015
1997-2005,yob::2016:treat,1.7574965372825495,0.2684623710674932,6.546528402822991,5.692857548857473e-10,2016
1997-2005,yob::2017:treat,2.775102660149736,0.44560940334120497,6.2276573145491465,3.133774053503604e-9,2017
1997-2005,yob::2018:treat,3.581474870803909,0.4603341319317597,7.780163629784528,5.032863566412103e-13,2018
1997-2006,yob::2005:treat,-0.026447911575251806,0.29348338045702027,-0.09011723775999309,0.9282803546388306,2005
1997-2006,yob::2006:treat,-0.11596430218870378,0.2952887459881708,-0.39271494008562485,0.6949302708241482,2006
1997-2006,yob::2007:treat,0.2876139732324575,0.2650431623303512,1.0851590009101006,0.2791013486933591,2007
1997-2006,yob::2008:treat,0.33227655228535574,0.2771069067023224,1.1990915572606007,0.23185006386808613,2008
1997-2006,yob::2010:treat,-0.46618931964188387,0.27829783946380604,-1.6751453066976254,0.09540123877440274,2010
1997-2006,yob::2011:treat,-0.031756752713556324,0.24131566395653067,-0.1315983893995245,0.8954285543811031,2011
1997-2006,yob::2012:treat,1.04962974310347,0.5376267561868061,1.9523391107766244,0.0522334569361357,2012
1997-2006,yob::2013:treat,1.004454374916907,0.4724010803498365,2.1262745084601806,0.03465345963600487,2013
1997-2006,yob::2014:treat,0.7525335787306904,0.33759610694018843,2.2290943623470634,0.02687218326432204,2014
1997-2006,yob::2015:treat,0.8850435338092968,0.598765686805124,1.4781133142944205,0.14088288152690662,2015
1997-2006,yob::2016:treat,1.0600891635457743,0.29142589976764804,3.6375942028178567,3.466933876658898e-4,2016
1997-2006,yob::2017:treat,2.747199734031714,0.44489014358867485,6.175006962104446,3.3961226760411967e-9,2017
1997-2006,yob::2018:treat,2.047615290536624,1.0261516113042475,1.9954315405050989,0.04729442851637882,2018
1997-2007,yob::2005:treat,-0.05558149636322893,0.29043786047720754,-0.19137138757290478,0.8484027363802156,2005
1997-2007,yob::2006:treat,-0.08397111660883713,0.31317891758900185,-0.2681250617228202,0.788842329608578,2006
1997-2007,yob::2007:treat,0.12006249797514504,0.26916183738739197,0.44606062709530675,0.6559712693964224,2007
1997-2007,yob::2008:treat,0.37488755205821195,0.2773603554482707,1.3516263038108582,0.17781695302038097,2008
1997-2007,yob::2010:treat,-0.3923501831704763,0.28903884994878715,-1.3574306126667548,0.17596910296267063,2010
1997-2007,yob::2011:treat,-0.021211052481951313,0.2548163435285088,-0.08324054959833542,0.9337323581606305,2011
