reg_id,reg_name
HOUSA000062898319,GEORGEFARM TOYSTORY LARRY
HOUSA000134855125,RIDGEDALE MIGHTY NICE-ET
HOUSA000134278865,BVK STORMATIC DUSTIN-ET
HOUSA000135905690,KAMPS-HOLLOW ARUDOLF-RED-ET
HOUSA000062811027,MEDEIROS STRMATIC FRESNO-ET
HOUSA000135418903,ERNEST-ANTHONY TITLEIST-ET
HOUSA000063704881,ENSENADA ARMSTEAD PLAYER-ET
HO840003001638553,RICECREST MAC SIBERIA
HOUSA000064288016,BOSSIDE GOLDENBOY
HO840003003939045,JAMESHILL-R BOLIVE SHIVA-ET
HO840003003939043,JAMESHILL-R BOLIVE SHAKA-ET
HOUSA000066451345,ENSENADA JEEVES PAUL-ET
HOUSA000140056299,FUSTEAD MAC SOTO
HOUSA000069324700,KINGS-EMERLING S FOXON-ET
HOUSA000139231146,RICECREST ALTAROONEY
HOUSA000139231137,RICECREST ALTAROCKY-ET
HOUSA000066360625,CARL-A ALTAWORLDCUP-ET
HOUSA000066532627,BOMAZ ALTASOLAR-ET
HOUSA000066133528,DINOMI ALTATYSON
HOUSA000069093264,BOSSIDE ALTABLAINE-ET
HOUSA000064178070,REGEL BOLIVER NEIL
HOUSA000063685867,PINE-TREE OMAN WRENCH
HOUSA000139663127,FUSTEAD RAMOS SPIKE-ET
HO840003003939049,JAMESHILL-R SEMINOLE
HOUSA000139805488,FUSTEAD JETSTREAM SETH-ET
HOUSA000139800559,FUSTEAD JETSTREAM SHAMOO
HOUSA000065827971,KINGS-EMERLING P FRANNIE-ET
HOUSA000065827991,KING-EMERLING M FAMOUS-ET
HOUSA000140333084,RICECREST MOSTYN-ET
HOUSA000069654695,BERRYRIDGE SUPER IDEA-ET
HOUSA000069654691,BERRYRIDGE SUPER IDOL-ET
HOUSA000068771348,MR GOLDNOAKS MESSIAH-ET
HOUSA000140875137,LEADERWIN DOMAIN MANNY-ET
HOUSA000139815449,MAINSTREAM JAGR
