reg_id,inbreeding
JE840003012229191,6.11
JE840003009717648,6.57
JE840003012576091,3.33
JE840003124526292,5.86
JE840003011609979,5.52
JE840003012575849,4.26
JE840003012575949,4.26
JE840003011609997,5.52
JE840003011610048,3.16
JE840003011609994,5.52
JE840003011609970,6.59
JE840003011199046,4.26
JE840003126051887,16.74
JE840003012658917,7.59
JE840003140305961,7.51
HOUSA000071703267,7.01
HO840003011639750,6.31
HO840003011639717,6.28
HOUSA000071905925,7.96
HOUSA000071852979,5.59
HOUSA000073590548,8
HOUSA000073138997,8.03
HO840003011001325,10.55
HO840003132475249,7.18
HO840003131083932,7.1
HOUSA000074564800,14.13
JE840003140306014,7.34
JE840003140305952,5.68
JE840003140305997,5.92
HO840003145055369,9.79
HO840003145055416,12.05
HO840003148279634,9.32
JEAUS000A00017607,6.38
HOAUS000H01549198,3.98
JEAUS000A00012839,2.87
JEAUS000A00017120,10.69
JEAUS000A00016534,8.82
JEAUS000A00010404,4.46
JEAUS000A00016532,6.28
JEAUS000A00019862,6.45
JEAUS000A00013360,4.47
JECAN000008809508,4.8
JEAUS000A00015664,4.8
JEAUS000A00011104,5.06
JEAUS000A00016958,11.62
JEAUS000A00018739,1.55
JEAUS000A00016439,2.97
JEAUS000A00015663,1.51
JEAUS000A00014361,1.74
JEAUS000A00016546,8.78
JEAUS000A00013440,8.14
HOAUS000A00011306,6.74
HOAUS000H00871856,3.95
HOAUS000H01189534,7.31
HOAUS000H01377914,6.16
MSAUS000100019396,0.02
JEAUS000A00019174,7.38
JEAUS000A00018097,8.59
JEAUS000A00020877,8.29
MSUSA000360012428,1.66
JEAUS000A00013487,8.76
JEAUS000A00015886,5.57
HOAUS000H01309884,5.6
HOAUS000H01309883,5.6
HOAUS000H01332217,5.74
JEAUS000A00019067,7.44
JEAUS000A00019442,6.7
JEAUS000A00020434,6.8
HOAUS000H01386733,6.36
HOAUS000H01409746,4.69
HOAUS000H01457890,4.35
BSDEU000934871290,2.66
HOCAN000006500298,6.42
HOCAN000006718930,5
HOCAN000006060619,3.96
HOCAN000006423824,7.32
HOCAN000006827398,2.52
MSCAN000009993327,1.75
AYUSA000000143806,5.96
MSCAN000012106540,2.67
AYUSA000000142135,7.03
HOCAN000102327761,6.38
HOCAN000102327643,5.96
AYUSA000000143768,3.52
AYUSA000000144780,4.66
JECAN000009446301,4.99
JECAN000010215015,2.99
JECAN000010200848,5.31
AYUSA000100184426,9.35
JECAN000008422980,10.31
JECAN000008772893,1.97
AYUSA000000145313,7.12
AYUSA000000145231,6.35
AYUSA000000145306,3.38
AYUSA000000145038,2.55
AYUSA000100055726,4.42
AYUSA000100093058,5.43
AYUSA000100115017,5.97
AYUSA000000150432,3.67
AYCAN000008460392,6.62
BSCAN000007409973,4.59
HOCAN000000299495,3.12
HOCAN000000350481,7.3
HOCAN000006611463,2.27
HOUSA000002200946,2.43
HOCAN000006763624,2.59
HOCAN000006809436,4.06
HOCAN000005535026,2.11
HOCAN000005808346,1.62
HOCAN000005662104,5.3
HOCAN000005954672,3.36
HOCAN000006609467,2.34
HOCAN000006737392,5.8
HOCAN000006735464,10.68
HOCAN000008056027,7.92
HOCAN000008852004,11.03
HOCAN000006831453,17.6
HOCAN000007255608,4.11
HOCAN000006677417,3.73
HOCAN000006833637,5.87
HOCAN000006817677,7.03
HOCAN000010694301,9.61
HOCAN000100748722,2.93
HOCAN000101652169,5.56
HOUSA000133750650,4.93
HOUSA000136761415,4.17
HOCAN000010702311,5.17
JEUSA000000642798,4.8
JEUSA000000663877,3.07
JECAN000101735533,3.45
JECAN000010203356,9.18
JEUSA000111513882,10.97
JECAN000010030826,6.77
JECAN000010204651,8.47
JECAN000010204931,6.29
JECAN000010215898,4.29
JEUSA000115016220,7.77
JECAN000101962791,8.28
JECAN000102944844,8.28
JECAN000008578251,10.14
AYUSA000000145434,4.33
AYUSA000100047673,3.84
AYUSA000100212415,0
AYCAN000101034039,7.42
AYCAN000008460322,5.41
AYCAN000007545057,5.86
HOCAN000007383068,5
HOUSA000002297228,4.21
HOCAN000005033036,3.04
HOCAN000006775811,8.61
HOUSA000002251168,7.2
HOCAN000100769479,14.95
HOCAN000006364217,6.2
HOCAN000006368935,8.66
HOCAN000010670674,7.54
HOCAN000006778294,6.2
HOCAN000008040485,7.31
HOCAN000006769704,9.82
HOCAN000006816995,4.91
HOCAN000006468035,12.08
HOCAN000006797081,2.99
HOCAN000010576719,5.78
HOCAN000006817111,6.83
HOCAN000006769919,2.88
HOCAN000006961819,3.66
HOCAN000007112792,4.93
